geneNames	GSM1339618	GSM1339619	GSM1339620	GSM1339621	GSM1339622	GSM1339623	GSM1339624	GSM1339625	GSM1339626	GSM1339627	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633
ZBTB20	895.1	749.775	692.8	645.1	369.925	520.4	408.65	443.725	460.425	397.3	721.375	990.425	1021.55	834.1	1059.8	769.175
ZBTB22	419.8	355.8	313.2	364.2	464.9	408.8	239.8	495.1	269.3	259.1	375.3	419.4	471.2	336.3	397.9	233.5
ZBTB24	455.5	369.5	379	299.9	212.4	144.2	335.5	299	315.9	320.3	187.7	317.5	238.3	261.4	307.7	337.5
ZBTB25	134.2	119.3	39.8	98	121.2	61.5	131.9	93.1	87.4	79.8	95.2	98.5	86	72.1	125.2	75.1
ZBTB3	104.5	50.6	85.2	74.1	51.6	25.5	74.2	7.9	94.8	39.7	58.7	28.8	62.8	85.2	49	41.5
ZBTB32	12.4	10.5	10.7	12.9	14.6	16.1	12.2	15.1	7.9	11	15.8	13.2	11.9	10.1	10.2	11.4
ZBTB33	53.2	129.8	103.9	78.4	35.3	62	76.3	54	111.4	59.7	57.7	34.9	52.3	42.5	45.7	43.3
ZBTB38	426.3	525.8	473.2	354.1	538.4	588.2	535.2	494.3	739.4	571.6	764.2	654.6	671	637.9	777	607
ZBTB39	182.9	172.4	168.9	183.8	174.3	125.8	177.4	239	174.3	111	180.1	181.5	188.5	166.9	109	160.7
ZBTB40	222.7	253.8	297.65	308.55	278.1	330.9	219.75	160.8	126.2	220.15	265.1	297.7	308	191.95	139.2	223.7
ZBTB43	99.3666666666667	122.333333333333	104.3	169.8	137.1	86.8333333333333	143	103.133333333333	89.6666666666667	134.633333333333	88.4666666666667	170	149.2	165.266666666667	174.3	145.366666666667
ZBTB44	23.7	23.1	15.2	16.6	30.7	21.9	18.4	28.6	14.7	11.1	5.8	22.1	19.7	12.7	51.9	16.3
ZBTB48	151.6	199.4	175.7	205.9	129.6	145.2	115.5	87.4	100.3	87.4	208.2	169.7	133.7	191.2	87.4	103.8
ZBTB5	762.7	531.9	714.2	619.1	766.1	609.7	618.1	475.2	595.6	706.4	524.6	584.3	612.1	561.8	669.4	668.2
ZBTB6	61.3	75.5	49.8	64.3	62.7	54.4	70.9	78.3	56.6	40.5	32.9	52.7	78.8	80.4	81.9	81.6
ZBTB7A	171.975	115.6	166.025	131.075	122.625	188.45	173.55	187.5	113.225	104.9	179.925	202.45	188.175	166.325	149.275	120
ZBTB7B	47.6	47.9	34.7	30.7	47.7	50.9	52.9	50.1	24.8	46.7	22.4	21.5	40.8	84.7	22.9	24.6
ZBTB7C	3.3	11.2	2.8	31.4	6.1	11.9	8.6	3.8	2.3	2.2	39.2	15.1	43.8	36.6	8	8.8
ZC2HC1A	384.5	335	377.3	281	218	335.2	298.1	324.7	278.4	362.1	277	501.2	430.4	404.1	483.4	354.7
ZC2HC1C	40.8	54.9	42.4	52.2	13.1	80.5	33.1	16.6	78.5	54	23.9	15.5	64.2	5.7	27.4	30
ZC3H13	442.9	499.45	496.95	396.35	377.6	338.45	447.4	527.45	428.2	452.7	423	417.6	470.1	550.9	459.3	567.35
ZC3H14	452.466666666667	805.466666666667	500.433333333333	438.2	381.633333333333	371.633333333333	389.333333333333	339.9	505.5	477.033333333333	434.966666666667	495.5	462.966666666667	519.533333333333	526.8	562.466666666667
ZC3H15	540.5	681.933333333333	637.3	802.233333333333	672.233333333333	704.5	523.066666666667	743.4	989.166666666667	797.533333333333	707.866666666667	697.933333333333	684.6	854.366666666667	676.433333333333	1080.33333333333
ZC3H3	246.8	284.2	247.3	254.1	211.2	223.1	304.9	197.6	201.4	215.9	262.5	215.3	252.1	180.2	235.6	227.3
ZC3H4	792.2	742	677.9	917.1	549.8	689.7	576.4	575	861.1	629.8	825.6	840	825.4	862.1	724.7	784.6
ZC3H7A	578.3	653.6	538.5	620.2	410.9	436.2	435.8	456.4	609.4	412.5	633.9	527	452.3	615.7	463.8	563.4
ZC3H7B	112.94	95.22	122.34	119.02	141.76	152.66	90.92	68.94	88.32	98.98	102.3	122.88	139.96	78.46	92.04	98.74
ZC3HAV1	1055.3	509.25	658.2	680.8	671.35	533	544.9	458.85	739.3	619.8	550.3	621.95	546.95	746.1	582.95	432.55
ZC4H2	191.1	74.9	74.5	63.3	77	195.9	80.4	69.1	72.5	176.2	224.7	81.3	86.8	121.4	182.8	191.6
ZCCHC10	267.9	227.2	247.8	192.7	174.8	248.7	231.8	287.2	297.2	278.2	177.2	189	204.7	282.9	245.8	347.1
ZCCHC11	361.85	351.75	272.1	223	338.5	179	247.9	190.15	263.6	238.15	266.6	223.65	234.95	251.2	212.85	308.4
ZCCHC14	299	300.966666666667	386	231.533333333333	221.3	243.766666666667	260.833333333333	117.366666666667	102.033333333333	209.3	315.966666666667	278.3	299.333333333333	377.133333333333	346.266666666667	188.7
