geneNames	GSM5176138	GSM5176139	GSM5176140	GSM5176141	GSM5176142	GSM5176143	GSM5176144	GSM5176145	GSM5176146	GSM5176147	GSM5176148
LILRB5	74.7503	47.2543	108.053	39.3926	111.048	132.353	193.829	250.767	72.5609	103.968	10.8055
LILRP2	84.3173	62.6722	86.4911	40.178	12.5207	299.481	125.956	126.543	104.415	96.4165	43.0787
LIM2	93.2971	1159.19	102.41	149.952	68.1427	232.606	368.694	397.153	36.9881	180.014	54.2328
LIMA1	1148.63	4177.03	1191.69	1057.67	1081.16	1788.38	1769.25	4450.63	1205.71	1654.4	935.349
LIMCH1	816.305	3188.84333333333	1649.42666666667	1086.92166666667	1352.015	1465.147	1483.51	4189.16333333333	2028.52666666667	2092.00333333333	1465.74766666667
LIMD1	131.8107	350.39075	141.16041	133.19455	65.080565	281.33185	236.8891	383.6437	198.09165	152.6305	62.87594
LIMD2	27.2106	139.756	13.8413	8.02947	12.7718	56.6847	38.4559	88.995	15.1568	55.8445	11.4422
LIME1	44.2087	61.4038	64.6022	14.3846	12.3599	131.469	114.527	143.447	65.6029	71.9812	14.0727
LIMK1	51.2031333333333	193.859666666667	36.7940866666667	65.7922	52.2474666666667	167.7119	162.049566666667	216.892166666667	61.0926	95.6441333333333	73.2903
LIMK2	108.922866666667	355.189333333333	145.453633333333	102.9898	74.7544333333333	192.234366666667	151.447766666667	375.347	108.748133333333	149.2758	73.2081
LIMS2	252.084	557.619	331.02	273.175	229.622	597.175	242.644	933.6	383.471	269.327	243.607
LIN28A	46.0202	301.075	74.9641	52.0516	19.0842	45.032	41.3807	41.6201	11.7373	77.8485	72.7751
LIN37	157.069	427.598	214.439	124.219	289.45	141.1	124.819	319.94	163.619	109.046	131.359
LIN7A	33.1555	33.1171	2.51414	13.1122	9.49827	27.5945	30.1432	28.4623	4.83581	13.5376	4.0998
LIN7B	42.3887	428.527	64.2228	171.368	254.083	150.884	211.268	313.56	189.254	56.5277	148.943
LIN7C	140.1375	556.8565	249.2885	133.278	167.483	285.707	126.63475	739.4515	332.956	366.0425	175.3305
LINC00094	163.881	696.859	214.39	129.288	136.082	274.264	177.864	840.322	189.123	315.377	164.106
LINC00115	145.259	387.569	38.3526	58.4802	18.3814	10.5618	75.3359	71.7826	46.7634	92.6928	54.8063
LINC00216	84.4295	856.182	116.291	110.203	13.7428	218.439	260.008	403.856	84.7148	145.34	41.0352
LINC00260	8.04038	57.0915	72.1689	16.8439	104.648	43.6072	28.2553	53.4658	19.1431	54.4708	29.82
LINC00302	12.909135	57.5996	40.11855	7.52986	51.33915	110.5103	31.0719	142.00155	30.543315	65.86052	30.020895
LINC00312	350.112	1247.81	268.937	373.843	310.268	615.402	639.857	1425.34	566.213	619.551	192.052
LINC00328	82.2247	74.0509	30.7558	6.13245	24.5823	4.98353	16.8256	4.08565	6.2484	25.8212	33.1155
LINC00339	41.0651	134.955	183.734	36.2814	43.1033	72.0418	62.94	194.281	53.9516	66.4528	31.7359
